trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
315,False,"{'a': 0.5, 'e': 0.2150000000000104}",30,6,36.2912914143022,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.2125000000000104}",20,8,21.108813336333093,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.2100000000000104}",25,10,-0.21649177325250513,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.2075000000000104}",25,7,18.083150497772795,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.2050000000000104}",30,11,-7.067912275152617,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
320,False,"{'a': 0.5, 'e': 0.2025000000000104}",20,6,27.8105467147082,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.2000000000000104}",25,11,4.5266499741772765,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.1975000000000104}",20,7,-29.819262255723658,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
323,False,"{'a': 0.5, 'e': 0.1950000000000104}",25,13,10.497290853588432,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.19250000000001039}",20,3,12.78527323003502,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.19000000000001038}",20,12,14.103043208586852,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.18750000000001038}",30,12,30.68947096580583,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.18500000000001038}",20,6,15.972816660084767,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.18250000000001038}",20,11,-38.645095397644354,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
329,False,"{'a': 0.5, 'e': 0.18000000000001037}",20,13,-27.14550090711782,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
330,False,"{'a': 0.5, 'e': 0.17750000000001037}",25,17,3.1645890688433984,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.17500000000001037}",20,15,10.387157277926391,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.17250000000001037}",25,6,31.2309970492012,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.17000000000001037}",20,3,26.68463561115099,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.16750000000001036}",20,5,-8.117882222719205,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.16500000000001036}",20,2,22.730499622956973,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.16250000000001036}",25,11,27.27722082668843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.16000000000001036}",25,14,-26.132686965557745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
338,False,"{'a': 0.5, 'e': 0.15750000000001035}",25,6,0.19029565465792486,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.15500000000001035}",25,0,41.228772850552836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.5, 'e': 0.15250000000001035}",30,14,6.557639895698079,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.15000000000001035}",25,17,15.840824439535421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.14750000000001035}",25,9,26.84278989669485,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.14500000000001034}",25,17,13.768338857547255,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.14250000000001034}",25,18,13.152588092376133,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
